"Timestamp","Compared to the start of the semester, do you feel more confident about your ability to read or write a simple program?","How comfortable are you with the concept of a ""variable""? ","How comfortable are you with the concept of a ""control statement"" = setting/checking condition and branching the execution flow?","How comfortable are you with the concept of  ""procedure"", both declaring and using it?","How comfortable are you with the concept ""iterative statement"" = setting initial condition, checking continuing condition, and setting incrementation/decrementation? ","How comfortable are you with the concept of ""abstraction""? ","How many hours per week outside the class do you spend on this course? ","Is the class harder or easier than a biology class?","Which course are you currently enrolled in?","I completed CSc 306 Computing for Biologists with a passing grade last semester.","How comfortable are you with the concept of a ""loop""?","How comfortable are you with the concept of a ""nested loop""?","How comfortable are you with the concept of a ""stack and queue""?","How comfortable are you with the concept of ""sorting""?","How comfortable are you with the concept of ""Big (O) notation""?","How comfortable are you with the concept of ""class""?","How comfortable are you with the concept of ""inheritance""?","How comfortable are you with ""Object-oriented programming"" and its benefits?","How likely are you to recommend the PINC program to a friend or colleague","PINC mentors have been helpful in enhancing your learning experience.","Any suggestions for improving mentoring/tutoring?","Do you prefer to finish PINC program in 4 semesters by having one semester with 2 courses, or in 5 semester by having one course each per semester?",""
"2017/04/07 11:18:04 AM PDT","Yes","1","1","2","2","4","4-6 hours","4","CSc 220 Data Structures and Algorithms","True","2","2","3","4","4","1","2","4","2","1","None","4 semesters",""
"2017/04/07 11:33:19 AM PDT","Yes","3","4","4","5","5","4-6 hours","5","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","4","4","5","5","5","5","5","5","3","2","mentor could have office hours outside of mentor meeting","4 semesters",""
"2017/04/07 11:48:25 AM PDT","Yes","1","1","1","1","1","4-6 hours","2","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","1","3","3","3","5","2","4","1","1","1","More in class excercises!","4 semesters",""
"2017/04/07 1:26:24 PM PDT","Yes","1","4","2","3","5","0-3 hours","4","CSc 220 Data Structures and Algorithms","True","1","1","5","5","5","4","5","5","2","1","No","4 semesters",""
"2017/04/07 2:17:15 PM PDT","Yes","1","2","3","2","1","4-6 hours","2","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","1","2","3","3","3","3","3","3","1","2","i would be nice to have someone one on one. Sometimes when students aren't at the same point the mentoring session is a lot of catch up for the other person instead of helping both students equally.","5 semesters",""
"2017/04/07 2:32:23 PM PDT","Yes","1","3","3","4","4","4-6 hours","3","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","1","1","3","3","4","4","4","3","2","1","I wish we had more of a ""lab"" style to mentoring, like science labs but for coding. Working on smaller projects for an extended period of time so we can go through the trial and error together and be able to ask questions quickly as the arise. ","4 semesters",""
"2017/04/07 3:31:25 PM PDT","Yes","1","3","2","3","5","4-6 hours","4","CSc 220 Data Structures and Algorithms","True","1","2","5","5","5","2","1","2","1","4","Better commun ication between lecturer and Mentors about the current work or project we are doing ","5 semesters",""
"2017/04/07 6:42:38 PM PDT","Yes","1","2","2","2","3","4-6 hours","4","CSc 220 Data Structures and Algorithms","True","2","3","2","3","","3","2","","1","3","I would like for there to be more communication between the class instructors and the tutors, i.e. everyone was on the same page and the tutors knew about what we are learning and knew how to help us with hw so we would get the concepts. ","4 semesters",""
"2017/04/07 10:11:03 PM PDT","Yes","4","3","3","3","2","7-10 hours","3","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","3","3","5","4","5","5","5","3","2","2","Mentoring has been very helpful; sometimes the room can be a little loud and it's hard for me to hear.","4 semesters",""
"2017/04/08 12:45:24 AM PDT","Yes","5","5","5","4","4","7-10 hours","3","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","5","5","1","1","1","4","4","5","1","1","I like how it works. My mentor gives me practice and explains everything thoroughly.","4 semesters",""
