Timestamp,1. When working on a computer science problem I find it useful to brainstorm about solution strategies before writing code.,2. I find the challenge of solving computer science problems motivating.,3. Understanding computer science means being able to recall something you’ve read or been shown.,4. The subject of computer science has little relation to what I experience in the real world.,5. There is usually only one correct approach to solving a computer science problem.,"6. To learn computer science, I only need to memorize solutions to sample problems.",7. I am interested in learning more about computer science.,8. Computer Science makes me a better biologist.,9. What were the primary reasons you INITIALLY decided to participate in the PINC program? Please list up to two reasons.,10. Have your motivations changed? What inspires you to continue progressing through the PINC program?,11. How likely are you to recommend the PINC program to a friend or colleague,12. Write one thing you really like about your experience in the PINC program,13. Write one thing you are not so happy about in your experience in the PINC program,14. What is your next planned step for your career goals?,"15. Compared to the start of the semester, do you feel more confident about your ability to read or write a simple program?","16. How comfortable are you with the concept of a ""variable""? ","17. How comfortable are you with the concept of a ""control statement"" = setting/checking condition and branching the execution flow?","18. How comfortable are you with the concept of  a ""procedure"", both declaring and using it?","19. How comfortable are you with the concept ""iterative statement"" = setting initial condition, checking continuing condition, and setting incrementation/decrementation? ","20. How comfortable are you with the concept of ""abstraction""? ",21. How many hours per week outside the class do you spend on this course? ,22. Is the class harder or easier than a biology class?,"23. How comfortable are you with the concept of a ""loop""?","24. How comfortable are you with the concept of a ""nested loop""?","25. How comfortable are you with the concept of a ""stack and queue""?","26. How comfortable are you with the concept of ""sorting""?","27. How comfortable are you with the concept of ""Big (O) notation""?","28. How comfortable are you with the concept of ""class""?","29. How comfortable are you with the concept of ""inheritance""?","30. How comfortable are you with ""Object-oriented programming"" and its benefits?",31. PINC mentors have been helpful in enhancing your learning experience.,32. Which courses do you plan to enroll in next spring?,33. Which courses have you completed with a passing grade?,34. Do you plan to take CSc 220 when it will be scheduled as a MW 4:10 - 5:25 section?,"35. If you do not plan to take CSc as described above or are undecided, please briefly explain why:","36. Do you prefer to finish PINC program in 4 semesters by having one semester with 2 courses, or in 5 semester by having one course each per semester?"
2017/10/12 12:56:05 PM PDT,4,3,4,2,4,2,4,4,I wanted  to be a better coder as well as learn new programming languages.,My motivation has not really changed. I wanted to continue the program to get a minor in CS and to incorporate my new coding skills with my biology research.,4,I liked how this program is connecting both biology topics and cs together.,"Sometimes the assignments can be a little bit overwhelming and sometimes the deadline are too fast. If a person never coded before, it's going to take them more time to understand the new cs concepts.",Industry,Yes,5,5,4,5,3,4-6 hours,4,5,5,2,4,3,4,2,4,5,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,CSc 306 Computing for Biologists,Undecided,I have to check if this time conflicts with major class shedule,5 semesters
2017/10/12 12:56:06 PM PDT,5,4,5,1,2,1,5,5,To learn how computer science can be used to approach biology questions and get more experience with solving out of the box questions.,I continue to progress through PINC because it continues to widen my scope on what can be solved.,5,My favorite experience from the PINC program is meeting with my mentor every week. The mentors I have had so far are caring and very patient with me and other PINC students.,"The only thing I am not happy about is how the instructors teach their class. I and other students would like our classes to be more driven on explaining the tools that we have available in each program instead of focusing on how to solve the problem. By focusing on how to solve a problem our classes are not teaching us how to be creative thinkers, our classes are teaching us how to think linearly.",Graduate school,Yes,5,5,5,5,5,7-10 hours,2,5,5,1,5,1,5,5,3,5,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,CSc 306 Computing for Biologists,Undecided,I still need to check if there would be any other classes conflicting with this class,4 semesters
2017/10/12 12:56:13 PM PDT,4,5,4,1,1,2,5,4,"I initially decided to join PINC after learning how the biology field is trending towards solving problems with computer science answers, also because it is taught to high schoolers and I missed when they added that to the cirriculum, so I feel behind.","Not really. I am not a quitter, so I continue to press on!",3,"I am being exposed to a lot of different aspects of coding, so I feel like I am prepared for the job market.","When I initially asked about joining PINC, I was assured I could handle the coursework along with the demands of my masters degree work, and I can...but barely. I struggle to keep pace, and only the fact that I am a masters student who is used to pressure is keeping me going. But had I known how much work it would be and how much time I would need to devote, and had the advice been given to me...I probably would not have joined.",Industry,Yes,5,5,5,5,5,4-6 hours,3,5,5,1,2,1,3,1,3,5,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,CSc 306 Computing for Biologists,Yes,,5 semesters
2017/10/12 12:56:26 PM PDT,3,3,3,1,1,1,5,5,To get better with computers and to get coding skills that I could apply to future biology research,Same motive as before,4,Learning to code,"Being the guinea pig, though there are positives of that state ",industry and grad school,Yes,5,3,3,4,3,7-10 hours,1,5,3,3,3,2,3,3,2,3,CSc 698a Research Topics in Computing Applications,CSc 306 Computing for Biologists;CSc 220 Data Structures and Algorithms,No,"I have only one pinc course left to take, CSc 698b Research Topics in Computing Applications. ",4 semesters
2017/10/12 1:00:03 PM PDT,5,4,3,2,1,1,5,5,My colleague suggested it to me & I think it will make me more marketable by having  both life science and computer science skills.,Yes.  I enjoy learning new programs and I have a greater appreciation when I understand and see examples how they work in my everyday life,4,Doing the assignment that help me learn about the different programming styles,All mentors should be required to learn how to teach us( like do the SEPAL program or something like it) so we can succeed.,Industry,Yes,5,5,5,5,2,more than 20 hours,1,5,5,5,5,3,4,5,4,3,CSc 698a Research Topics in Computing Applications,CSc 306 Computing for Biologists;CSc 220 Data Structures and Algorithms,No,,4 semesters
2017/10/12 4:15:37 PM PDT,2,4,2,2,1,2,4,4,(1) I was interested in learning a different learning that was more computer science based and (2) The courses offered looked interesting like app building and web applications,My motivations has not changed the only problems is having enough time to complete all the courses without interfering with major courses. ,4,I really enjoy working with my cohort and sharing the pain of coding!,There isn't something that is pressing that I can think of right now,Undecided,Yes,4,2,4,4,2,4-6 hours,3,4,4,2,2,2,3,2,3,4,I don't know yet,CSc 306 Computing for Biologists,Undecided,"Next semester, I will be graduating and defending. I am unsure if I will be able to handle the load of both Biol classes and CSC since csc requires a lot of attention outside of class. ",5 semesters
2017/10/13 11:41:41 AM PDT,5,4,5,2,3,1,5,3,,,5,I like that it connects computer science and biology.,,,Yes,5,4,3,3,3,4-6 hours,3,4,3,2,2,2,4,3,4,4,I plan to talk to my mentor or professor about this,At least one other computer science course,Undecided,,4 semesters
2017/10/13 11:51:15 AM PDT,2,3,3,1,1,1,5,4,Computer science has many useful applications in many careers. I can use computer science to speed up data analysis,My motivations have not changed. The PINC program gives me an opportunity to pursue a skill in a biology-focused environment.,5,The biological focus,How frustrating it is to learn computer science,Graduate school,Yes,5,5,5,4,3,4-6 hours,1,5,2,2,4,1,1,3,1,5,I plan to talk to my mentor or professor about this,Neither,Yes,I forget which class is next in the PINC schedule,5 semesters
2017/10/13 3:18:16 PM PDT,5,4,5,1,3,3,4,4,I heard that the PINC program is a good program for biology students to pursue a career in research. I was also interested in how computer science correlates with biology.,I think that my motivations are still the same. I still want to continue in the PINC program because it is in the works of becoming a minor.,5,I have always enjoyed learning another language and learning pythons is somewhat challenging but rewarding.,"At times I feel like the program is somewhat unorganized and that the teachers are testing out new ways to teach the material. Although this is helpful, it can also bring some stress when studying the material or making the work load larger.",Medical school,Yes,5,4,4,4,2,4-6 hours,3,4,2,1,1,1,1,2,3,5,CSc 220 Data Structures and Algorithms;I don't know yet;I plan to talk to my mentor or professor about this,Neither,Yes,,4 semesters
2017/10/13 6:17:58 PM PDT,3,3,4,2,1,1,4,4,To learn computer science and to be able to apply the skills that I learn in this class to my academic career. ,"No, my motivations have not changed. I am inspired by my desire to grow as a student(critical thinker) and inspired to have this opportunity to learn a completely different subject. ",4,Learning how to code. ,very time consuming class ,Graduate school,Yes,3,3,2,1,1,4-6 hours,1,3,1,1,1,1,2,4,1,4,CSc 307 An interdisciplinary Approach to Web Programming;I don't know yet,Neither,Undecided,,4 semesters
2017/10/14 12:38:22 PM PDT,5,4,4,5,2,1,5,4,"1.) I initially wanted more help on learning programming.
2.) Having what I program connect with my major.","My motivations have been similar with being in the introduction part of python. What motivates me are the teachers that give us options of pursuin help with our struggles of coding. Options could be going to teachers, mentors or classmates that we will be with for the next coming classes.",4,One thing I like are the weekly mentor meeting.,I'm not as happy as to how slow the class has been going.,Industry,Yes,5,5,4,3,3,0-3 hours,4,4,4,3,3,2,4,2,4,4,CSc 307 An interdisciplinary Approach to Web Programming,At least one other computer science course,Undecided,,4 semesters
2017/10/16 7:45:17 AM PDT,5,3,5,3,2,1,5,5,"To be able to have coding skills, and it will benefit me when it comes to looking for a job.","I enjoy creating things and through the PINC program, i am able to do that. My motivations have not changed as of yet.",4,I really like being able to see my code being played out when running an app or just clicking run on codeacademy.,Coding is a new language for me and there are some confusing concepts in it that I have yet to understand.,Undecided,Yes,4,3,3,2,2,7-10 hours,4,4,2,1,1,4,3,2,2,5,CSc 307 An interdisciplinary Approach to Web Programming;CSc 220 Data Structures and Algorithms;I plan to talk to my mentor or professor about this,Neither,Yes,,4 semesters
2017/10/18 1:48:43 PM PDT,4,2,4,3,1,2,4,3,I'm horrible with technology and I also thought that learning cs would be a good skill that applies to all work fields.,"My motivations are still the same, but in understanding cs a little more, my motivation has grown stronger. It seems a lot less dry and more interesting than before when I initially started. ",4,Having a mentor is a great help. I really appreciate their input.,"I'm pretty satisfied with my overall experience, though I do wish the ilearn website were a little more organized.",post bac for secondary ed. credentials,Yes,4,3,3,3,2,7-10 hours,2,4,3,2,3,2,3,3,2,4,I don't know yet,Neither,Undecided,I'm not sure how the time would fit into my work schedule.,4 semesters
2017/10/18 2:18:22 PM PDT,5,3,4,2,1,1,5,4,,"I find the course somewhat challenging but that’s my motivation, not good hung up on something that hasn’t been solved or figured out ",4,"The interaction we have with our mentors and classmates, it feels like a close community ","App Inventor was extremely excruciating, yet again it felt more memorizing than actually figuring out the code function ",Medical school,Yes,3,4,4,4,4,4-6 hours,3,3,3,3,4,3,4,5,4,5,CSc 307 An interdisciplinary Approach to Web Programming,Neither,Yes,,4 semesters
2017/10/18 3:04:44 PM PDT,3,3,4,2,1,1,4,4,I have no programming skills and I know that it will be useful for my future career ,My future motivates me to keep going ,4,I like that the classes really teach the basics of the language learned and slowly gets more difficult as we go on ,The timing of the class and it’s very time consuming ,Undecided,Yes,4,4,4,4,3,4-6 hours,1,4,3,3,4,3,3,3,3,4,I don't know yet,Neither,Undecided,It really depends on my scheduling outside of school. I have a lot of time consuming things to do outside of school,4 semesters
2017/10/18 4:52:20 PM PDT,4,4,3,,1,2,5,4,learn coding and add knowledge that can be advantageous on my resume,"despite it is hard form me, I believe resilience is the key",5,New language and somehow hard to comprehend ,my pace of understanding ,Graduate school,Yes,3,3,2,3,2,0-3 hours,2,3,2,1,1,1,1,1,1,4,CSc 220 Data Structures and Algorithms,Neither,Undecided,depend on my other major classes schedule,5 semesters
2017/10/18 7:03:55 PM PDT,4,4,5,2,1,3,4,4,I initially decided to take this course for future job applications and learning a new skill.,"My motivations haven't changed, I continue to progress through with the hope of becoming a better well rounded student from SFSU.",4,I enjoy talking about codes and finding out other alternatives to writing it.,I don't like that it's kind of a independent type of class where mostly everything is learning through online classes. I'd prefer applying what  I learned to a problem sets like in Udacity over the summer PINC program.,Undecided,Yes,5,3,4,2,1,0-3 hours,3,4,1,2,4,1,3,4,1,4,CSc 307 An interdisciplinary Approach to Web Programming,Neither,Undecided,I'm not sure of the schedule will have space.,4 semesters
2017/10/18 8:39:10 PM PDT,3,5,5,1,2,2,4,5,To explore the possibility of careers in computer science and to use it for dental school. ,My motivations has changed a bit. I'm a lot more interested in computer science. ,4,I love the ability to interact with my classmates and having a mentor to guide me through my struggles. ,I don't like that we cram so much information in 3 hours and be expected to remember it the next week. ,Dental School or working in tech. ,Yes,5,4,4,3,2,4-6 hours,1,3,3,2,2,2,2,2,2,5,I plan to talk to my mentor or professor about this,Neither,No,The late hours on Monday's & Wednesday's might interfere with my current job. ,4 semesters
2017/10/18 11:04:30 PM PDT,3,4,5,2,2,1,5,5,motivation from peers and being able to learn something new,the end result of the struggle is worth it after you've solved a problem ,5,I like that the computer science teachers are stepping out of their field to help other non-cs students. It shows that the faculty members care. ,It has been challenging to find time to learn coding ,Graduate school,Yes,5,4,3,4,2,7-10 hours,2,5,3,3,5,4,5,4,3,3,CSc 307 An interdisciplinary Approach to Web Programming,Neither,Undecided,,4 semesters
2017/10/19 11:09:55 AM PDT,4,5,2,2,1,2,4,4,I wanted to take a class that was basic enough for me to understand since I had a purely biology background,"After going through the first class, I don't think the program is for me. It's far too disorganized",1,I was able to learn some useful skills in a structured environment,It's very disorganized and this makes the class very frustrating to be in. Simple concepts are overexplained and more foreign concepts are glossed over. Using App inventor was also a complete waste of time. The lecture style really does not work with this type of class.,Graduate school,Yes,5,5,5,4,1,4-6 hours,3,4,1,1,1,1,1,1,1,5,None,,No,My experience in the first class makes me feel that I'm better off trying to learn other concepts on my own.,5 semesters
2017/10/19 2:09:42 PM PDT,5,5,4,1,2,2,5,5,"Learn to code and build my skills, and to be able to apply them to a possible job. ",I really learned to like the problem solving of coding so i would like to continue to learn. ,4,The ease of code academy. ,The time consuming part of code academy. ,Undecided,Yes,5,5,5,2,1,4-6 hours,3,5,1,1,4,1,1,1,1,5,I plan to talk to my mentor or professor about this,Neither,Yes,,4 semesters
2017/10/19 2:13:10 PM PDT,3,3,3,3,3,2,4,3,I wanted to obtain a new skill and broaden my knowledge.,I’m motivated to continue in the program to get my minor in computer science.,4,I’ve enjoyed challenging my thought process.,The course itself seems a little inconsistent.,Medical school,Yes,4,4,4,4,2,4-6 hours,1,1,1,1,1,1,3,4,3,5,CSc 307 An interdisciplinary Approach to Web Programming,Neither,Undecided,,4 semesters
2017/10/19 4:13:21 PM PDT,3,3,2,1,1,1,2,3,I wanted to learn to code. ,"Yes, i feel discouraged. It feels like ",3,Being able to work with other Biology majors,,Graduate school,No,3,1,3,1,1,4-6 hours,1,1,1,1,2,2,2,2,2,3,I don't know yet,Neither,Undecided,I might graduate ,4 semesters
2017/10/26 4:08:08 PM PDT,3,3,4,3,3,4,3,5,For work,Nope; work,5,Coding,,Medical school,No,4,3,3,3,1,4-6 hours,3,3,3,3,3,3,3,3,3,3,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,Neither,No,,4 semesters
2017/10/26 4:30:25 PM PDT,4,3,5,1,1,1,5,5,To learn new skills that will be beneficial in my career,"Yes; I am inspired by coding, with respect to biotechnology",5,Learning to code and not have so much busy work that is redundant.,The pace of lessons is unorganized and stressful.,Medical school,Yes,4,3,3,3,3,7-10 hours,4,3,1,1,3,1,1,1,1,4,CSc 307 An interdisciplinary Approach to Web Programming;CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms;I plan to talk to my mentor or professor about this,Neither,Yes,,5 semesters
